"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","152","5","0"
"","Manager Can View Expenses","Manager views all expenses","0","0","1","0","0"
"","Manager can login and logout","Manager successfully logs in","0","0","1","0","0"
"","Generate Reports","Successful date range report is generated","0","0","1","0","0"
"","Manager Can Approve or Deny Expenses","Manager approves an expense","0","0","2","0","0"
"","Manager can login and logout","Manager fails to login","0","0","1","0","0"
"","Generate Reports","Successful category report is generated","0","0","1","0","0"
"","Generate Reports","Successful employee report is generated","0","0","1","0","0"
"","Manager Can View Expenses","Manager views pending expenses","0","0","1","0","0"
"","Generate Reports","Successful pending report is generated","0","0","1","0","0"
"","Generate Reports","Successful all expenses report is generated","0","0","1","0","0"
